"Plot Title: 21741109-B"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 21741109, SEN S/N: 21741109)","Intensity, lum/ft² (LGR S/N: 21741109, SEN S/N: 21741109)","Coupler Attached (LGR S/N: 21741109)","Host Connected (LGR S/N: 21741109)","Stopped (LGR S/N: 21741109)","End Of File (LGR S/N: 21741109)"
1,06/06/23 08:00:00 PM,73.753,3.0,,,,
2,06/06/23 08:30:00 PM,73.234,0.0,,,,
3,06/06/23 09:00:00 PM,73.234,0.0,,,,
4,06/06/23 09:30:00 PM,73.062,0.0,,,,
5,06/06/23 10:00:00 PM,72.891,0.0,,,,
6,06/06/23 10:30:00 PM,72.718,0.0,,,,
7,06/06/23 11:00:00 PM,72.545,0.0,,,,
8,06/06/23 11:30:00 PM,72.372,0.0,,,,
9,06/07/23 12:00:00 AM,72.028,0.0,,,,
10,06/07/23 12:30:00 AM,71.683,0.0,,,,
11,06/07/23 01:00:00 AM,71.339,0.0,,,,
12,06/07/23 01:30:00 AM,70.995,0.0,,,,
13,06/07/23 02:00:00 AM,70.651,0.0,,,,
14,06/07/23 02:30:00 AM,70.480,0.0,,,,
15,06/07/23 03:00:00 AM,70.137,0.0,,,,
16,06/07/23 03:30:00 AM,69.793,0.0,,,,
17,06/07/23 04:00:00 AM,69.449,0.0,,,,
18,06/07/23 04:30:00 AM,69.278,0.0,,,,
19,06/07/23 05:00:00 AM,68.934,0.0,,,,
20,06/07/23 05:30:00 AM,68.592,16.0,,,,
21,06/07/23 06:00:00 AM,68.592,66.0,,,,
22,06/07/23 06:30:00 AM,68.763,109.0,,,,
23,06/07/23 07:00:00 AM,68.934,128.0,,,,
24,06/07/23 07:30:00 AM,69.107,144.0,,,,
25,06/07/23 08:00:00 AM,69.449,168.0,,,,
26,06/07/23 08:30:00 AM,69.622,184.0,,,,
27,06/07/23 09:00:00 AM,69.793,216.0,,,,
28,06/07/23 09:30:00 AM,70.137,256.0,,,,
29,06/07/23 10:00:00 AM,70.480,272.0,,,,
30,06/07/23 10:30:00 AM,70.995,256.0,,,,
31,06/07/23 11:00:00 AM,71.339,256.0,,,,
32,06/07/23 11:30:00 AM,71.683,304.0,,,,
33,06/07/23 12:00:00 PM,72.372,288.0,,,,
34,06/07/23 12:30:00 PM,72.891,288.0,,,,
35,06/07/23 01:00:00 PM,73.062,368.0,,,,
36,06/07/23 01:30:00 PM,73.580,336.0,,,,
37,06/07/23 02:00:00 PM,73.926,272.0,,,,
38,06/07/23 02:30:00 PM,74.446,256.0,,,,
39,06/07/23 03:00:00 PM,73.753,3072.0,,,,
40,06/07/23 03:30:00 PM,73.580,3072.0,,,,
41,06/07/23 04:00:00 PM,73.407,2176.0,,,,
42,06/07/23 04:30:00 PM,68.934,496.0,,,,
43,06/07/23 05:00:00 PM,69.278,896.0,,,,
44,06/07/23 05:30:00 PM,68.421,1280.0,,,,
45,06/07/23 06:00:00 PM,66.366,608.0,,,,
46,06/07/23 06:30:00 PM,66.193,864.0,,,,
47,06/07/23 07:00:00 PM,64.310,352.0,,,,
48,06/07/23 07:30:00 PM,62.940,208.0,,,,
49,06/07/23 08:00:00 PM,61.054,46.0,,,,
50,06/07/23 08:30:00 PM,60.368,4.0,,,,
51,06/07/23 09:00:00 PM,59.680,0.0,,,,
52,06/07/23 09:21:22 PM,,,Logged,Logged,,
53,06/07/23 09:21:28 PM,,,,,Logged,Logged
